nagromadzenie G2_następstwo
misio puchaty
plantacja G1_borówka
zamiar AND_powaga
status SUBJ_uregulować
metamorfoza SUBJ_przypominać
mieszkanka G2_wtorek
naśladowanie G2_efekt
zimno G1_beza
tekst G1_sugestia
serce G2_gwiazda
tęsknota SUBJ_pustoszyć
puder AND_tusz
performer G2_grupa
blok G1_wapień
różnowierca G2_dzieje
chłopiec podobny
stacja obcojęzyczny
wynik G1_konfabulacja
księżna G2_zgon
opole SUBJ_obiegnąć
technika G1_ograniczanie
analityk SUBJ_uspokajać
tynk AND_farba
sponsor SUBJ_wydalić
orkiestra G1_opera
dudnienie AND_brzęczenie
hańba SUBJ_wrócić
znaczenie G2_zwiększenie
znikczemnienie AND_upodlenie
kościół SUBJ_dźwignąć
kubańczyk SUBJ_zmusić
ślizgawka G2_montaż
rektor AND_episkopat
aleja G1_ksiądz
desperacja AND_wściekłość
modyfikacja AND_aktywacja
marzec G2_koniec
wydarzenie G1_prześladowanie
fort wzniesiony
potwór SUBJ_skoczyć
rodzina G2_zaopatrywanie
siatkówka G2_spółka
świadek AND_opisywacz
katastrofa AND_anarchia
wojna medialny
część G1_maszynista
dochód skromny
zmysł AND_radość
organizacja G2_centrala
układ G1_uwarunkowanie
grabieżca G2_chłop
kwatera G1_aliant
adrian AND_liderek
imię G1_roland
embargo G2_produkt
styl orientalny
tancerz SUBJ_wykorzystywać
zawartość SUBJ_kurczyć
cnota G2_straż
wójt AND_węgrzyn
reprezentant G1_izba
udział G1_gromadka
perspektywa AND_plama
przepis SUBJ_zakrawać
biskupin SUBJ_powitać
święta AND_mikołaj
refleks AND_wyczucie
eksces G2_wyhamowanie
patronat G1_zastępca
henryk G2_rzecz
spodnie SUBJ_kupić
poziom G1_tęsknota
uwaga SUBJ_skupiać
jackson SUBJ_prawić
wózek ręczny
przyjaciel G2_zdobycie
piętro AND_wymiana
podejrzenie G1_połknięcie
zdarzenie G2_systematyka
pogrzeb AND_święta
członek G1_kapela
początek AND_współczesność
grosz SUBJ_świeżyć
zbiornik dawny
wstąpienie G2_zamiar
usługa SUBJ_świadczyć
łańcuch G2_segment
mistrz SUBJ_snąć
rekolekcja G2_poprowadzenie
świt SUBJ_iść
majątek G1_janusz
szczelność G2_gwarancja
dziewczyna SUBJ_ugotować
wzór AND_los
reforma G1_ordynacja
roszczenie G1_likwidator
olkuska SUBJ_dodawać
ania G2_rusznica
zbyt AND_przetwórstwo
patronka G1_chłop
stopień G1_odgazowanie
kamień G2_rozstaw
śnieg biały
wykrycie G2_przykład
klasa G2_pięcie
stolik stołówkowy
lapończyk G2_wioska
kropidło SUBJ_oddać
wystawianie G1_rachunek
przejazd przewidywany
nieufność G2_kultura
wydajność G2_regulator
nota G2_gadomski
słonecznik G2_skubanie
przykład G1_profesjonalista
przedstawienie AND_mantra
akcja G2_odsprzedawanie
klient SUBJ_zaczepiać
oryginalność AND_wesołość
rezerwacja SUBJ_wycofać
akcjonariusz G1_cieszyn
artur AND_stasiak
decydująco G2_bitwa
dżins AND_bez
przyporządkowanie SUBJ_pamiętać
czytelnik SUBJ_nastawić
grzegorz G2_trójca
bogdanka SUBJ_oddać
plotka AND_kłamstwo
nysa G2_forsowanie
ula G2_skansen
schorzenie SUBJ_wyleczyć
edward G2_sznurowadło
gość G2_pukanie
mieszkanko G2_opowieść
kulka G2_piza
małysz SUBJ_frunąć
produkt SUBJ_skojarzyć
wstawanie G2_moment
prowokacja AND_znęcanie
nieumiejętność AND_lęk
prośba AND_upomnienie
geodeta AND_architekt
sukces G1_anna
przeczytanie G1_dzieło
rdzeń G1_czek
notatka G2_pot
trzask SUBJ_iść
akt G2_solidność
stabilność AND_stanko
obrazek G1_książka
bark G1_polonia
polityka aktualny
wahanie G2_zagadnienie
strumyk AND_rów
ordynacja AND_słabość
kawał SUBJ_marnować
paszport AND_karta
podgatunek G2_piec
biurko G1_korekta
obrączkowanie SUBJ_dokonywać
edycja G1_pole
regulamin pisemny
katedra G1_marketing
wygenerowanie SUBJ_zakładać
panienka piszący
pośrednictwo AND_konsulting
barwnik SUBJ_starczyć
różniczkowanie G1_pospolitość
programowanie G1_maszyna
dochód AND_obrót
gospodarz bogatszy
panika paraliżujący
linia G2_pochylenie
major SUBJ_wykrztusić
omówienie G1_idea
mięsień G2_rozbudowywanie
kierunek omawiany
grób G2_murowanie
piktogram SUBJ_kliknąć
docieranie SUBJ_usprawnić
zakres G1_totalizator
symbolika G1_czas
ideał G1_kontrkultura
ozorek G2_miastko
bratanie G2_wypadek
ekran olbrzymi
odjęcie G1_miejsce
rok_lata G1_lutosławski
sygnalista G2_gra
prelekcja G1_piotrek
stosowanie G1_dopłata
hol SUBJ_pęknąć
rynek G2_zieleniec
utrata AND_stępienie
zatarg AND_proces
zakrzywienie G1_linia
kołodziej SUBJ_wyjechać
archanioł SUBJ_zrobić
gorycz AND_podniecenie
kredka G2_oprawka
porządkowanie AND_upiększanie
zdumienie G2_postawa
spięcie SUBJ_chcieć
zdun AND_świątkarz
jazda AND_obrót
plan SUBJ_przeforsować
wróż G2_rozpiętość
krosno G2_widok
inkasent SUBJ_drukować
komisariat G2_budowa
mysz AND_ślimak
usunięcie G1_dogmat
głóg G2_automobilklub
ustrój społeczny
chałwa G2_okruch
elżbieta G2_syn
swoboda SUBJ_wiązać
państwo G2_teoretyk
zakreślenie AND_rozprawa
rozumienie AND_gramatyk
wróżka SUBJ_istnieć
stacja kolejny
obserwacja G1_aktywność
diament SUBJ_wyjść
tendencja AND_przekonanie
treść etniczny
mnich AND_pielgrzym
przejaw G1_ewolucja
spalanie SUBJ_ułatwiać
afisz SUBJ_oglądać
zniszczenie G2_pojęcie
okręg AND_dziedzina
piasek AND_siatka
nowak SUBJ_wykorzystać
maszyna warczący
rażąco SUBJ_niepokoić
pomysłowość SUBJ_skierować
ciek drobny
lin komputerowy
materiał AND_narkotyk
posłowie G1_bogusława
świadczenie specyficzny
kałuża G2_problem
rozwaga AND_logika
połowa G1_posiłek
samolot SUBJ_eksploatować
major G2_memoriał
działanie pozorowany
barek G1_siostra
reżyser G2_intencja
ręka G2_nadgarstek
porównanie G1_ideał
jerzy G2_kamera
kaszub AND_góral
karasek AND_piasek
produktywność AND_postęp
kosowo AND_liban
aprobata AND_protest
malaria AND_cholera
przywieszka AND_kolczyk
fotografia G2_prostowanie
obelga AND_groźba
zwyczaj chrześcijański
wejście znaczący
obrzęk G1_droga
wid G1_oko_oka
karencja SUBJ_potrwać
kem SUBJ_działać
ekipa G2_hymn
żyto G1_handlarz
małżonek SUBJ_oddalać
przebieg G2_szybkość
szereg G1_wyborca
wyrób G2_nabywanie
skłonność SUBJ_okazać
upał AND_głód
wózek SUBJ_terkotać
bocznica AND_wariant
klęska bezprzykładny
falsyfikat SUBJ_bywać
medium AND_prawnik
motocyklista SUBJ_kazić
kubek SUBJ_roznosić
sokista AND_żołnierz
mieroszewski AND_sułkowski
pozycja G1_franciszka
politechnika SUBJ_wygrać
uzdrowisko G2_zwolennik
uniemożliwienie G1_zakup
katowice G1_janusz
chojny AND_łódź
dzieciństwo G1_autor
trzon AND_główka
antyreklama G1_firma
maryla G2_przypadek
strona G1_belweder
projektant SUBJ_śpiewać
drzeworyt polski
zwycięstwo G1_mistrzyni
sofokles AND_homer
jadzia AND_światło
raczkiewicz SUBJ_zastrzec
kolor G2_nawałnica
felieton SUBJ_rozpoczynać
dodatek AND_buta
archiwizowanie G1_tychy
boris SUBJ_wieść
wuj SUBJ_zadać
przygotowanie odpowiedni
kropla SUBJ_strącić
firma G1_krupa
kabaczek SUBJ_lubić
kotlet SUBJ_otwierać
kręg G1_krzesełko
tworzenie AND_konsolidacja
przeszkoda fizyczny
bosak AND_pięść
sybilla AND_tomaszek
ludzkość SUBJ_ocalać
ermitaż SUBJ_zaczynać
edmund G2_gra
pogotowie G2_stworzenie
babka AND_ring
przeniesienie G1_stacja
kupno G1_pocztówka
innowacja AND_technologia
kapitał SUBJ_zbić
bohater AND_rycerz
synek G2_lok
wolontariusz najmłodszy
rejestracja bezpłatny
odtworzenie AND_zdobycie
program G1_osłona
wzrok G1_odprowadzająco
zapewnienie G1_porównywalność
ubezpieczalnia prywatny
mojżesz SUBJ_stłuc
układ wydolny
bela SUBJ_szarpać
śliwiński SUBJ_odprawić
eksponowanie stały
miał SUBJ_operować
milion SUBJ_wydrzeć
kasperczak SUBJ_uróść
furman AND_sekretarz
wypadek G1_interwencja
technologia G2_import
różnicowanie G1_termin
mąż AND_natalia
ciekawostka AND_sieć
parlament G2_rola
maksimum G2_ala
skóra gładki
dyscyplina G1_wojsko
wizerunek G1_galina
własność G1_budynek
refleks AND_słuch
wajcha G2_miał
kierowca AND_celnik
przedłużenie G1_prasa
ujednolicenie G2_założenie
rolnik G2_wróg
giełda nowy
kabina AND_pojemność
zwiastowanie AND_narodzenie
diaspora G2_liczba
gaz SUBJ_dociągnąć
marta AND_marian
pielgrzymka SUBJ_kontynuować
monitorowanie G1_płatność
kompozytor G2_adres
przyjaciel AND_kumpel
konto SUBJ_maćkać
hiszpan AND_meksykanin
korzyść SUBJ_zachwalać
algorytm G2_opis
ryzyko G2_konkretyzacja
przyjmowanie G1_spłata
chłopek SUBJ_pokończyć
zakładka elektroniczny
temat SUBJ_drążyć
miłość AND_pociecha
organizator G2_zmysł
parking G2_sklep
kształt G1_mozaika
intencja G1_jointa
wychudzenie AND_uroda
reguła rozsądny
ubytek G2_dorabianie
rzeźbiarz SUBJ_opracować
wyprawka SUBJ_dotrzeć
lustracja ostatni
zadanie G2_uogólnienie
zniechęcenie AND_bezrobocie
konieczność G1_przejazd
daniel AND_baczyński
pokora G2_lekcja
lód G2_reklama
sieć G2_wróg
krystyn G2_gdynianka
ropa bałtycki
kolekcjoner SUBJ_wycenić
świat SUBJ_dźwigać
przebicie G2_sygnał
tychy AND_opozycja
buntownik SUBJ_wejść
koktajl AND_hamburger
garnitur SUBJ_wystarczyć
chłodnia SUBJ_rozorać
harris AND_roman
ameba SUBJ_porównać
rodzaj G1_wysiłek
koneser AND_znawca
prąd G2_ramka
warszawa AND_malbork
pozyskiwanie G1_krew
pamiątka najróżniejszy
bylina AND_kwiat
epidemia G2_zapobieganie
szabla AND_floret
małżonka jedyny
dach AND_obróbka
pensjonariuszka G2_śmierć
powieść nietypowy
ujednolicanie G1_zachowanie
numer G1_kołnierzyk
letarg AND_poczucie
poseł G2_pociotek
kompot SUBJ_podzielić
blokada G1_klawiatura
szarlotka AND_sernik
laptop SUBJ_zabrać
nakłanianie AND_ułatwianie
polder G2_realizacja
oko_oczy AND_prosta
świetność AND_charakter
uszkodzenie AND_zapylenie
kowal SUBJ_zawiadomić
tkanina drogocenny
przyjaciółka nieznany
spektakl AND_aktor
dziewica dzielny
prezent SUBJ_porozdawać
popieranie AND_zainicjowanie
zen SUBJ_przeprowadzić
okno SUBJ_wyłączyć
zaraza G2_egzamin
przesłanka AND_przyczyna
dogonienie SUBJ_umożliwić
plan G1_kreowanie
trunek SUBJ_chlusnąć
niedostatek SUBJ_ukryć
scyzoryk SUBJ_powiedzieć
szamotuł G1_pieniądz
dźwięk SUBJ_rozrywać
niewolnik AND_chłopiec
szczyt AND_zakończenie
włodek SUBJ_poznawać
administracja AND_ekonomia
dom G1_termomodernizacja
albania G2_powstanie
karton AND_worek
polonia G2_katechizm
piotr SUBJ_odzywać
kongres SUBJ_nadawać
dziwaczność G1_patrzenie
przymiotnik G2_przetłumaczenie
rozwijanie G1_biznes
wniosek konkretny
oczko AND_nosek
tychy G2_genom
indus AND_ganges
rezydencja SUBJ_zbudować
siatkarka G2_garnitur
wzruszenie serdeczny
rozprawa G2_styl
wyzwolenie SUBJ_zablokować
żółtaczka SUBJ_leczyć
hotelarz SUBJ_prześcigać
gotowość G2_podtrzymanie
przyszłość SUBJ_związać
plus SUBJ_wykupić
wspaniałość AND_sentyment
debata AND_posiedzenie
narzucanie G1_wole
iloczyn SUBJ_nizać
zależność AND_nienawiść
mapa SUBJ_wypalić
ananas AND_groszek
mówczyni G2_mina
moduł G2_wysłanie
fasada czerwony
teren G1_dzierżoniów
niepokalanka SUBJ_dawać
stworzenie AND_gad
elastyczność AND_odporność
przykazanie chrystusowy
zofia SUBJ_pachnąć
amerykanin SUBJ_witać
wybór G1_skrzynia
zniechęcenie AND_znużenie
norbert G2_obrona
drukowanie AND_komputer
sponsor G2_ucieczka
podpis G1_dziadek
problem G1_jukos
kształtowanie G1_karność
eliminacja G2_przeprowadzenie
branie G1_łapówka
akcent G1_ksenofobia
sadzenie SUBJ_przystąpić
francja G2_port
szop G1_włos
szwagierka AND_szwagier
ocieplenie SUBJ_musieć
nasilenie AND_temperatura
żołnierz krakowski
psychoterapia SUBJ_dążyć
pomoc woli
opalenizna G1_solarium
mistrz AND_gawłowski
opieka AND_diagnostyka
organizacja G1_wyścig
plecak AND_rower
nauczyciel SUBJ_wspomnieć
odwołanie przedłożony
zbocze G2_opływ
wymieszanie G1_rasa
wątpliwość dotychczasowy
figura AND_wzór
świadczenie AND_dopłata
właściwość SUBJ_podziać
siatkówka G2_punkt
kanclerz G2_wywiad
zakup G1_zamek
adres G1_leszczyński
gang SUBJ_przejmować
sebastian AND_świderski
przekroczenie G1_dualizm
odpowiedzialność AND_mienie
pies G2_wyskok
chodzenie G2_wola
samochód G2_święcenie
sługa G1_izba
kompozytorka AND_poetka
mechanizm G1_zacieranie
śmiecie SUBJ_pakować
cudzoziemiec G2_duszpasterz
pijalnia AND_bar
calik SUBJ_pracować
ustawianie G1_urządzenie
nic AND_stadium
dostarczyciel AND_operator
spora G1_krystyn
epoka G2_smak
sypniewski SUBJ_zagrać
częstotliwość G1_zlot
liga SUBJ_utrzymać
kanał zarezerwowany
górka liczny
gmach SUBJ_górować
stawski SUBJ_wybuchnąć
plantator portugalski
dyrektor AND_pełnomocnik
markiza G2_pan
treść SUBJ_dosuwać
posiłek AND_list
wątpliwość SUBJ_nasunąć
melodia G2_przebieg
fryz AND_obramienie
przyroda AND_instruktorek
przekazanie G1_górowski
zniknięcie G2_łatwość
skrzypki G2_solista
kot G2_wywracanie
piosenka G2_cześć
przerwa AND_opamiętanie
kłótnia G1_radna
ekshibicjonizm AND_wulgarność
konstytucja postępowy
alba G1_spódniczka
urok AND_klimat
hala zrujnowany
synowa G2_danina
anons liczny
fenomen G1_audycja
ustawienie AND_uregulowanie
wielbiciel G1_stefan
chmura rzadki
byt zastany
kamienica G2_brama
postać moralny
spazm G1_lęk
nieostrożność AND_skrytość
pies AND_kanapa
waldemar G2_zmiennik
duda SUBJ_odnieść
rozstawienie G1_para
oświata G2_sektor
wyliczanko AND_amelia
fotosynteza G2_proces
przymus AND_wykonanie
przykład G1_gomułka
buzek AND_przewodniczący
związkowiec G2_tłum
samek AND_mikołajczyk
drzewostan przebudowywany
kupa G1_gówno
posianie SUBJ_planować
misja G2_odbycie
polowanie SUBJ_spowodować
obrada SUBJ_przesunąć
polityk G2_ryj
nos G1_pojazd
urzędowanie G2_okres
obserwowanie AND_kontrola
obecność G1_dzik
unicestwienie G1_potencjał
zgrupowanie SUBJ_zlikwidować
komitet G2_łono
eksplozja G2_warunek
mityng G1_sprzedawca
dyspozycja psychiczny
nieznajomość G1_podstawa
równowartość G1_majątek
rycerz AND_pachołek
estonia G2_przyjęcie
gęś SUBJ_udławić
kręgosłup G2_nowotwór
trwałość G1_wyrób
usługa SUBJ_kłamać
wytwórnia G1_sprzęt
notatka G1_wydział
pacjent G2_fantazja
przyzwoitość AND_samokrytycyzm
wniosek kompletny
delfin AND_małpa
cel pierwszorzędny
konkurencja G2_ostrość
chmielarstwo AND_wikliniarstwo
decyzja AND_uchwała
stenia AND_anita
przekonanie SUBJ_powodować
przyjazd G1_ania
decyzja G2_woluntaryzm
wykop G1_studnia
wola AND_zaciekłość
ważność AND_wzniosłość
skarb SUBJ_wysuwać
obawa G1_nauczyciel
zjawisko G1_oddalanie
zakład G2_młyn
wir zwany
człowiek G2_postępek
rytm SUBJ_zagłuszyć
rower G2_świat
jak G1_maszynista
kasa SUBJ_gubić
pole G2_teoria
kompozytor AND_instrumentalista
żołnierz G2_szkolenie
nałóg AND_lęk
wstanie AND_trawa
koszt G1_łupienie
rozrywka telewizyjny
stworzenie AND_opuszczenie
zamieszczanie SUBJ_sposobić
policja G1_michał
dębiczanin SUBJ_mielić
guta G2_adam
wejście późniejszy
partner SUBJ_wychować
klub suski
osadzanie G1_obiekt
modyfikowanie AND_wyświetlanie
psota AND_figiel
bogusław AND_strąk
kurator SUBJ_odwiedzać
msza trzygodzinny
szyk kolejny
rytm G1_instrument
strzałkowski G2_interwencja
zapis G1_wyraz
incydent odosobniony
rozbudowanie AND_rozwijanie
mecz kapitalny
wspomaganie G1_dydaktyka
perspektywa G2_mrok
środowisko florencki
egoizm G2_zasada
planowanie SUBJ_wycofywać
habit G1_misio
przemiana AND_budowa
opakowanie SUBJ_znajdować
hodowla G1_jesiotr
poszukiwanie AND_zatrzymanie
zamysł zbrodniczy
jadwiga SUBJ_radzić
samochód G2_podpalenie
zastąpienie G1_rezerwa
spóźnienie G2_kwadrans
zachęta AND_przymówka
akompaniator AND_kompozytor
nielegalność SUBJ_pozostawać
arcybractwo SUBJ_operować
polanka G2_ulica
punktowanie SUBJ_zakładać
deklaracja ogólny
napad AND_zwid
aula ośmioboczny
świadomość G2_sens
parów AND_dolina
paczuszka SUBJ_podawać
babcia SUBJ_uraczyć
umiejscowienie AND_samoocena
marek AND_kowalewski
przywiązanie bezgraniczny
maleństwo SUBJ_przywieźć
gnieźnianin SUBJ_odpowiedzieć
działka G2_obecność
odłam SUBJ_głosić
strofa dalszy
dembiński G1_herb
praca G1_bęben
huk AND_jazgot
pomysł G1_przeszczepianie
fartuszek SUBJ_zastępować
manicki AND_jacek
oferta G2_wybieranie
gęba AND_wąż
spółdzielnia SUBJ_wyłączyć
analityka G2_psychiatra
konin AND_konin
przeżywanie G2_wrażenie
aorta G2_ściana
kategoria piąty
ugoda AND_układ
pogrzeb AND_procesja
stenia SUBJ_nakryć
działalność G2_biznesplan
próżność G1_człowiek
odwet AND_potępienie
dziwak największy
marszałek G2_podejście
ekspedientka SUBJ_wyciągnąć
poczucie AND_senność
rencista G1_praca
kumulacja G1_ochrona
beza G2_dań
polowanie G2_podsumowanie
lipowski AND_jerzy
konferencja dłuższy
kulczyk G2_zakład
barometr AND_rękaw
strużka AND_drzazga
poprawianie G1_tekst
beata SUBJ_uniewinnić
fotel prezydialny
zamknięcie G2_konsekwencja
potomek G1_bil
ulica G2_pas
cech G2_problem
wyższość G1_gospodarka
rozjazd AND_uraza
laur SUBJ_zdobyć
nawrócenie AND_sukces
mężczyzna SUBJ_zarechotać
wnętrze AND_dusza
zestawienie SUBJ_przedstawić
postępowanie niepełny
zdjęcie najzabawniejszy
rak G1_rosjanin
muzyk G1_sława
hartowanie AND_mrożenie
obsada AND_scenariusz
suwenir AND_dyplom
pomyłka G1_laboratorium
mistrz SUBJ_klepać
gzyms AND_stiuk
prawo podmiotowy
dziadek SUBJ_narazić
uzyskanie AND_planowanie
dyrektywa SUBJ_ustalać
styl G1_kaczyński
dolnośląskie G2_bor
porównanie G2_mechanizm
pakistańczyk AND_żółtka
upokarzanie G2_sposób
opieka publiczny
marzenie francuski
zbyt AND_ciepło
flamaster G2_producent
dyscyplina AND_porządek
ziemia G2_przyszłość
krąg G1_pośrednik
odstąpienie G1_autor
osa AND_gąsienica
opracowanie chóralny
próba AND_uprowadzenie
zawiadomienie SUBJ_rozsyłać
hol G1_ryba
kanwa G1_praca
hak SUBJ_zaczynać
środowisko G2_referat
cena G1_egzemplarz
noworodek G2_trójka
gradient SUBJ_znaleźć
imię G1_senator
czytelnik albański
lato SUBJ_ślęczeć
odczucie skomplikowany
powołanie G2_propozycja
polemika AND_waśń
drganie G2_czujnik
odmiana G1_wyposażenie
komin G2_ustawienie
organizator SUBJ_narzucać
samotność G2_forma
oddanie G1_formularz
kościół G1_nawiedzenie
litwa G2_zabór
infiltracja G1_humor
korelacja G2_przykład
cześć AND_godność
świadek AND_gap
okupacja SUBJ_zagłębiać
proszek G2_metalurgia
irena G2_pojęcie
album G1_paweł
negocjator SUBJ_skupić
wstawianie G2_okienko
zasób G2_skomunalizowanie
operacja japoński
pogorszenie G1_wiarygodność
kuchta AND_franciszek
przyjęcie AND_pokaz
sprawdzenie G1_wiadomość
cząstka wymieniany
arbiter G1_tona
odwaga G1_profesor
pretekst G1_podawanie
katowiczanka G2_katowiczanka
rzetelność AND_sprawdzanie
badacz G1_tradycja
okres G2_nowelistka
wyjaśnienie SUBJ_znajdować
znowelizowanie G1_system
niepowodzenie AND_komunista
przypuszczenie G1_siatkarka
badanie G1_larwa
fryz AND_sas
rywalizacja G2_przyglądanie
pakuły AND_serwetka
złoto AND_rąbanka
przyznawanie AND_realizowanie
tychy G2_odsprzedaż
opalenica G2_klimat
krzyżyk SUBJ_czytać
miłośnik AND_ulubieniec
gubernator SUBJ_narazić
podróżnik hiszpański
nauczyciel AND_bibliotekarka
kupiec AND_szynkarz
wyszukiwanie G1_rekord
bojka AND_ber
działacz AND_koszykarka
tylka G1_pawela
kanon G1_walka
wysiedlenie G1_mieszkaniec
las G2_czyściciel
chips AND_jogurt
święto najwyższy
wojownik AND_bohater
mianowanie AND_zatrudnienie
blat SUBJ_rozgrzewać
pojemność AND_zasiąg
kaczyński SUBJ_dorobić
rafał AND_kowalik
dziennikarz G2_czołówka
sparingpartner wymagający
dzielenie AND_własność
demokrata AND_narodowiec
beton SUBJ_związać
mara G2_doktor
wieczerza G1_pan
regulacja G1_różnica
głóg kwitnący
notebook SUBJ_wygrać
członka SUBJ_zadawać
łamanie SUBJ_cechować
ranka SUBJ_mówić
przekora SUBJ_znać
rozróżnienie G2_sposób
nadciśnienie AND_dwunastnica
agata SUBJ_pokonać
wytaczanie G2_ograniczenie
odbiór G2_zasięg
michael SUBJ_stwierdzić
hierarcha G2_ideowość
trafienie honorowy
kompozycja historyczny
pokusa G1_nielojalność
dziewczyna SUBJ_strząsać
marzenie AND_dążenie
tychy G2_śnieżka
skała G2_odprysk
dekorator AND_artysta
eon SUBJ_zaintrygować
marginalizacja G1_książka
teoria G2_falsyfikacja
ojczyzna G2_wzgląd
hospicjum AND_ocena
monarcha AND_dostojnik
rozczarowanie SUBJ_udać
generał G2_uliczka
wieko G1_ania
ostrzeżenie SUBJ_posłużyć
stowarzyszenie AND_wiesław
konstytucja przygotowywany
sobota G1_zaraza
czeczenia AND_jordania
gra G2_ogniwo
wykład SUBJ_przyczynić
ściana SUBJ_rozjaśnić
podbródek G2_korka
tysiąc SUBJ_dyskredytować
salon przemyski
łączenie AND_wykorzystywanie
sekretarz SUBJ_odwiedzić
zakończenie AND_tkanka
prowokator AND_mitotwórca
namierzanie AND_identyfikacja
biblia G1_jakub
janusz AND_janas
społeczeństwo G2_męczarnia
wolność kary
fan G1_kryminał
ślizg SUBJ_zatrzymywać
joanna SUBJ_urzekać
radość szlachetny
odciąganie G1_beza
kułak AND_elżbieta
luteranin AND_husyta
pozycja punktowany
żywioł SUBJ_przenikać
rosołek AND_pasztet
schemat AND_fobia
tychy G2_pyłek
numer G1_wiza
dzielenie AND_wypłacanie
nadzieja G1_milenarysta
porwanie planowany
wizytówka G1_miejsce
postulat uwzględniony
ściąganie AND_zapamiętywanie
dentysta SUBJ_wstępować
uczucie G2_poszukiwanie
bezrobocie AND_lud
mora G1_głos
alaska AND_przepłynięcie
sprawność G2_wyznacznik
luk SUBJ_napiąć
kształt AND_zabarwienie
radio hiszpański
elita SUBJ_kokietować
dyrekcja lwowski
pomniejszanie G1_patologia
manuskrypt AND_inkunabuł
okolica G2_mieszkaniec
tłum G2_nieobecność
zalewanie G1_miasto
rejestrowanie G1_migawka
otwartość AND_precyzja
spis jedyny
zsyłka AND_mord
krzyk SUBJ_turlać
rozwijanie G2_zjawisko
gęba G2_działo
działka AND_maszyna
polemika SUBJ_czytać
pędzel AND_fiksatywa
konsul G2_odpowiedź
mieszkaniec G2_kłótnia
nabłonek G1_ściana
reakcja G2_szczegół
entuzjasta AND_rowerzysta
plan G1_czystka
blask G1_królestwo
obraza SUBJ_psuć
łagodność G1_rys
modernizacja szeroki
waza AND_władysław
obowiązek G1_wyposażanie
siniec SUBJ_sczernieć
zużycie AND_dystrybucja
utrzymanie G2_potencjał
hotel dobry
podwyższanie G1_temperatura
napięcie G1_emocja
miliard SUBJ_uchwalać
okno G2_trzaskanie
kask G2_grubość
jak G1_przybysz
zalanie AND_śnieg
muzeum AND_ognisko
klęska zdecydowany
fedra SUBJ_rozpędzać
szczepionko G2_pakiet
niezrozumienie AND_społeczeństwo
ekspresja SUBJ_stanowić
zaduma AND_zadyma
odejście G1_poeta
kierowanie G2_talent
rolnik AND_gorzelnik
starzenie G2_faza
palinka G2_kieliszek
niemożność AND_znudzenie
łańcuch AND_zamek
obserwator AND_przedstawiciel
formacja słupski
litania SUBJ_zostawać
pieróg G2_spód
lotnik SUBJ_doceniać
ciąg G1_spór
serwis zwany
robienie AND_łuk
zrobienie G2_idea
biurowiec G2_utrzymanie
przykład G1_osadnictwo
próba G1_pozyskanie
nacjonalizm G1_naród
pomiar G1_różnica
człowiek G2_mordowanie
bonn SUBJ_proponować
sposób AND_zmora
korona stylizowany
sejf G1_hotel
kieszeń AND_duch
refleks G1_gniew
syn SUBJ_wywrócić
przymierze komunalny
stłuczenie AND_skręcenie
planowanie G1_zapobieganie
wdowa AND_opiekun
instrukcja słynny
upodobanie AND_awersja
ekspert zachodni
orzeczenie SUBJ_wydalić
wygląd G1_gość
szałas AND_zadaszenie
warsztat AND_giełda
generalicja G1_babsko
dążenie AND_zdolność
magazynowanie AND_dystrybucja
las AND_puszcza
wizja SUBJ_odsłaniać
pomaganie G2_proces
wprowadzenie AND_przypomnienie
precedens AND_hamulec
smród SUBJ_istnieć
noc G1_udo
kromka SUBJ_poznać
specjał G2_przyrządzanie
oddziaływanie skuteczniejszy
zaradzenie G2_sposób
miotacz AND_broń
prawidłowość AND_istnienie
bogactwo AND_budowla
sekret G1_wydajność
artyleria syryjski
kurier AND_oficer
zniesławienie AND_zniewaga
teczka G2_tusza
porozumienie G2_wykaz
wino G2_zakładka
ślad SUBJ_wyciskać
posłaniec SUBJ_przebiegać
reprezentacja AND_wyobrażenie
odwaga G2_popis
kwadrat AND_masa
wkraczanie G2_możliwość
znak SUBJ_kraść
upierzenie SUBJ_obejrzeć
korona G2_uzyskanie
kawaler G1_krzyż
reżyseria AND_śląskie
hełm późnobarokowy
wysyp szczególny
element G2_absurd
lokomotiwus G2_bramkarz
ziemia G2_wgłębienie
zdecydowanie G1_warta
część AND_lubelski
uśmiech G1_baba-jaga
przeszłość SUBJ_żałować
rumian SUBJ_pochylić
ramię SUBJ_sięgać
czystka G2_wróg
sposób AND_dawka
rzeczywistość SUBJ_formułować
marketing skupiony
złożenie AND_strajk
ośrodek AND_laboratorium
weryfikacja G1_potwierdzenie
wstęp swobodny
prosta SUBJ_narysować
smuga G2_południe
filmowanie G2_kwadrans
brytania AND_portugalia
stereotyp SUBJ_kształtować
woal SUBJ_zapotnieć
osprzęt G1_silnik
metan AND_węgiel
twórca SUBJ_lansować
kabina obszerny
skończenie AND_problem
strategia G1_ekorozwój
remont G1_boisko
szyk G2_dobór
gotowość G2_deklaracja
gość G2_nastrój
wójt AND_łącze
tragedia G1_holocaust
suteryna G2_zaadaptowanie
travolta SUBJ_namawiać
przypadek G1_veto
święta SUBJ_orzec
strzał G1_krzywda
zgierz AND_sokół
sprawdzian SUBJ_oddawać
piłka G2_posiadanie
zawieszenie G1_import
bora G2_ośrodek
krzesło G1_okno
borys G2_głos
przedmowa SUBJ_zaznaczać
środowisko G1_platforma
